Job ID,Job Title,Company,Reviews,Location,Experience,Salary,Posted On,Openings,Applications,Job Description,Role,Industry Type,Department,Employment Type,Role Category,Education,Key Skills
1,Data Scientist,Tech Mahindra,3.631651,"Hyderabad, Pune, Bengaluru",6 - 11 years,Not Disclosed,1 day ago,5,218,"Knowledge of machine learning techniques and algorithms (e.g., regression, classification, clustering).
Experience with natural language processing (NLP) tools and libraries.
Proven experience as a Data Scientist or similar role, preferably in the healthcare domain.
Must have but equivalent is fine (Azure)
Experience with Using Vertex AI.
Experience developing and deploying generative AI models Vertex AI API using models (like PaLM 2, MedLm)
Developing & exploring a multi-model
Experience with cloud platforms, particularly GCP.",Data Scientist,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Data Science & Machine Learning,UG: Any Graduate,"Natural Language Processing, Gen AI, Azure, Machine Laerning, LLM, Deep Learning"
2,Data Engineer/Data Scientist - Sql - Hyderabad,PSS,NA,Hyderabad,4 - 9 years,11-18 Lacs P.A.,1 day ago,1,145,"Key Responsibilities:
Data Engineering Responsibilities:
Design, develop, and maintain robust ETL pipelines to ingest, process, and store large-scale datasets from various data sources.
Optimize and maintain data storage solutions (e.g., relational databases, data lakes, and data warehouses) for efficient querying and analysis.
Ensure the reliability and integrity of data pipelines, monitoring and resolving data quality issues.
Collaborate with the DevOps team to integrate and scale data platforms in a cloud-based environment (e.g., AWS, Google Cloud).
Data Science & Analytics:
Develop and deploy machine learning models to solve business problems such as classification, regression, clustering, and forecasting.
Use Python and advanced SQL to manipulate and analyze large datasets, extracting actionable insights.
Apply statistical methods and algorithms to analyze complex datasets and communicate findings in clear, actionable terms.
Experiment with feature engineering and optimize ML models for performance and scalability.
Collaboration & Stakeholder Engagement:
Work closely with data engineers, data scientists, and business stakeholders to understand their data needs and create scalable solutions.
Translate business requirements into data products, predictive models, and analytical solutions that drive strategic decision-making.
Present analytical insights and ML model results to technical and non-technical audiences.
Data Pipeline Optimization:
Leverage expertise in ETL processes to automate data extraction, transformation, and loading from various sources.
Work on optimizing data pipelines for better performance, ensuring efficient data retrieval for machine learning models and reports.
Model Deployment & Monitoring:
Deploy machine learning models into production environments and monitor performance over time.
Set up monitoring systems to track model performance and retrain models as needed to ensure ongoing accuracy.
Qualifications:
Education: Bachelors or Master’s degree in Computer Science, Data Science, Engineering, or a related field.
Experience:
3+ years of experience in Data Engineering or Data Science roles.
Strong proficiency in Python and advanced SQL for data manipulation and analysis.
Experience with ETL tools and processes to build scalable data pipelines.
Hands-on experience with machine learning algorithms and model development.
Familiarity with cloud platforms such as AWS, Google Cloud, or Azure.
Technical Skills:
Programming Languages: Strong proficiency in Python for data analysis, model building, and automation.
SQL Expertise: Advanced SQL skills, including query optimization, complex joins, and handling large datasets.
ETL Pipelines: Experience with ETL tools (e.g., Apache Airflow, Talend, dbt) and data integration techniques.
Machine Learning: Experience in developing and deploying ML models (classification, regression, clustering, etc.) using libraries such as scikit-learn, TensorFlow, or PyTorch.
Familiarity with data warehousing solutions (e.g., Redshift, BigQuery, Snowflake).
Soft Skills:
Strong problem-solving abilities and attention to detail.
Excellent communication skills to present complex technical solutions to non-technical stakeholders.
Ability to work collaboratively in a cross-functional team and manage multiple projects simultaneously.
Proactive approach to staying updated with emerging technologies in both data engineering and data science fields.
Preferred Skills:
Experience with big data technologies such as Apache Spark, Hadoop, or Kafka.
Knowledge of data pipeline orchestration tools (e.g., Apache Airflow).
Experience with model deployment and MLOps tools (e.g., Docker, Kubernetes, MLflow).
Familiarity with deep learning techniques and tools (e.g., Keras, PyTorch).
Proficiency in data visualization tools such as Tableau, Power BI, or Looker.",Data Engineer,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Data Science & Machine Learning,UG: Any Graduate,"Advance Sql, Python, SQL Queries, Spark, ETL Tool, Machine Learning, Ml Algorithms, SQL"
3,Lead Data Scientist - Marketing Analytics,Indusind Bank,3.79609,Gurugram,6 - 10 years,Not Disclosed,2 days ago,3,320,"About the Role:
You would be part of asset analytics and data science team and work on cutting edge problems for the bank. The individual will work closely with the stakeholders across risk, business, partnerships, digital and strategy in creating and refining strategies to augment profitability and growth for the bank. The incumbent will majorly be responsible with coming up data driven and actionable insights and presenting them to relevant stakeholders The candidate will work in close collaboration with digital product, growth, and marketing teams.
Job Responsibilities:
Querying databases and using statistical computer languages: Python and SQL.
Use predictive modelling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.
Work with large and multiple datasets, data warehouses and pull data using relevant programs and coding.
Strong background in Statistical Analysis. Constantly look and research on ML algorithms and data sources for better prediction.
Work and coordinate with multiple stakeholders to identify opportunities for leveraging company data to drive business solutions, implement models and monitor outcomes.
Assess the effectiveness and accuracy of new data sources and data gathering techniques and develop processes and tools to monitor and analyze model performance and data accuracy.
Leverage analytics to increase customer lifetime value for clients acquired digitally by pitching right product to the right client at the right time.
Help define pricing models for digital value propositions for various segments of users / clients to ensure profitability of the portfolio and to ensure achievement of business outcomes.
Work with product, growth, and marketing teams across product/campaign lifecycle
Empower product and marketing teams by creating automated dashboards and reports using PowerBI.

Eligibility:
6-10 years of Data Science experience preferably in Banking/ Financial Services.
Well versed with necessary data reprocessing and feature engineering skills.
Experience in establishing/scaling up data science functions.
Proven ability to discover solutions hidden in large datasets and to drive business results with their data-based insights.
Model development experience in Python.
Strong and in-depth understanding of statistics.
Strong strategic thought leadership and problem-solving skills with ability to tackle unstructured and complex business problems.
Ability to build & use relationships and influence broadly across the organization.
Results driven with strong project management skills, ability to work on multiple priorities.
Statistics and Hypothesis Testing.
Excellent written and verbal communication.

About the Digital Business Unit at IndusInd:

The mandate of the Digital Business Unit at IndusInd Bank is as follows:
Building customer centric products with human centered design principles for retail Individual and micro, small and medium enterprise (MSME) customer segments.
Build innovative products and propositions backed with problem solving mindset to discover and solve latent needs of customers.
Build Embedded Finance (Banking as a Service) applications.
Ensure designs are highly available, highly modular, highly scalable and highly secure
Drive digital business.

Some of the applications managed by the Digital Business Unit include IndusMobile (banks mobile app for retail individual clients), Indusnet (net banking application of the bank), IndusMerchantSolutions app, Whatsapp Banking, Chatbots, easycredit for Individuals, easycredit for Business Owners, savings, current account and fixed deposit online platforms. There are many more innovative digital products and solutions in pipeline.

The units objectives are three fold:

(a) Drive better customer experience and engagement..
(b) transform existing lines of businesses and
(c) build new digital only or banking as a service led digital business models.",Data Science & Analytics - Other,Banking,Data Science & Analytics,"Full Time, Permanent",Data Science & Analytics - Other,UG: B.Tech/B.E. in Any Specialization,"Data Science, Campaign Analytics, Statistical Data Analysis, Marketing Analytics, Model Development, Banking Analytics, Customer Analytics, Python, SQL"
4,Data Scientist,"IBM

Employees' choice",4.120393,Bengaluru,5 - 6 years,Not Disclosed,2 days ago,NA,20,"As a Data Scientist at IBM, you will help transform our clients' data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it's investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
IBM Cloud Economics are looking for a Data Scientist to join our team and help us leverage data to optimize the business outcomes at IBM Cloud. You will be responsible for designing, developing, and maintaining data pipelines, databases, and analytics solutions that support the planning, forecasting, and reporting of our third-party expenses, supply chain performance and identifying opportunities to improve the profitability of our Cloud services. You will also be responsible for monitoring and managing global inventories, as well as excess and obsolescence, and ensuring timely and cost-effective delivery of materials and products. You will also be responsible for teaching non-technical team members capabilities to self service automation and reporting.
To be successful as a Data Scientist, you should have a bachelor's degree, and more importantly, experience with data engineering tools, frameworks, and languages, such as SQL, Python, etc. You should also have experience with ERP systems (operational and financial), reporting tools, automation, and ETL processes. Experience with IBM Cognos and/or Apptio would be an advantage. You should also have strong analytical, financial accounting/business acumen, communication, and problem-solving skills, as well as the ability to work in a fast-paced and dynamic environment.

Responsibilities:
Provide feedback on design, develop, and maintenance of data pipelines, databases, and analytics solutions that support supply chain operations.
Collect, transform, and integrate data from various sources, such as ERP systems, external APIs, and web scraping
Ensure data quality, reliability, and security throughout the data lifecycle
Build and deploy data models and tools to simulate and optimize supply chain scenarios, as well as help deploy financial models
Create and present automated reports and dashboards on supply chain performance, metrics, and KPIs
Identify and implement opportunities for improving data efficiency, scalability, and usability
Monitor and manage inventory levels and availability across our supply chain network, as well as, monitor and mitigate excess and obsolescence
Provide feedback on the ability to forecast sales and production levels based on historical data, market trends, and customer demand
Identify and implement opportunities for improving efficiency, reducing costs, and increasing customer satisfaction


Required Technical and Professional Expertise
Bachelor's degree in finance, accounting, computer science, engineering, data science, or a related field
5+ years of experience in data engineering, data analysis, planning, logistics, accounting, finance or a similar role
Proficient in data scientist tools, frameworks, and languages, such as SQL and Python
Proficient in ERP systems (operational and financial), reporting tools, automation, and ETL processes
Proficiency in IBM Cognos and/Apptio would be an advantage
Excellent analytical, communication, and problem-solving skills
Ability to work independently and collaboratively


Preferred Technical and Professional Expertise
None",Full Stack Data Scientist,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Data Science & Machine Learning,"UG: Any Graduate
PG: Any Postgraduate","python, business acumen, sql, financial accounting, etl, erp, data analysis, forecasting, dbms, cognos, data engineering, dashboards, data quality, open source, tableau, data science, ibm cognos, product development, reporting tools"
5,Data Scientist: Artificial Intelligence,"IBM

Employees' choice",4.120393,Bengaluru,5 - 7 years,Not Disclosed,2 days ago,NA,49,"Your Role and Responsibilities
Work with broader team to build, analyze and improve the AI solutions.
You will also work with our software developers in consuming different enterprise applications.


Required Technical and Professional Expertise
Resource should have 5-7 years of experience. Sound knowledge of Python and should know how to use the ML related services.
Proficient in Python with focus on Data Analytics Packages. Strategy Analyse large, complex data sets and provide actionable insights to inform business decisions. Strategy
Design and implementing data models that help in identifying patterns and trends. Collaboration Work with data engineers to optimize and maintain data pipelines.
Perform quantitative analyses that translate data into actionable insights and provide analytical, data-driven decision-making. Identify and recommend process improvements to enhance the efficiency of the data platform. Develop and maintain data models, algorithms, and statistical models.


Preferred Technical and Professional Expertise
Experience with conversation analytics. Experience with cloud technologies
Experience with data exploration tools such as Tableu",Data Scientist,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Data Science & Machine Learning,"UG: Any Graduate
PG: Any Postgraduate","python, data analytics, artificial intelligence, tableau, ml, hive, algorithms, data analysis, natural language processing, pyspark, power bi, machine learning, sql, pandas, deep learning, data science, spark, kafka, data visualization, hadoop, aws, big data, etl"
6,Data Scientist,"IBM

Employees' choice",4.120393,Bengaluru,3 - 6 years,Not Disclosed,2 days ago,NA,94,"As a Data Scientist at IBM, you will help transform our clients' data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it's investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
IBM Cloud Economics are looking for a Data Scientist to join our team and help us leverage data to optimize the business outcomes at IBM Cloud. You will be responsible for designing, developing, and maintaining data pipelines, databases, and analytics solutions that support the planning, forecasting, and reporting of our third-party expenses, supply chain performance and identifying opportunities to improve the profitability of our Cloud services. You will also be responsible for monitoring and managing global inventories, as well as excess and obsolescence, and ensuring timely and cost-effective delivery of materials and products. You will also be responsible for teaching non-technical team members capabilities to self service automation and reporting.
To be successful as a Data Scientist, you should have a bachelor's degree, and more importantly, experience with data engineering tools, frameworks, and languages, such as SQL, Python, etc. You should also have experience with ERP systems (operational and financial), reporting tools, automation, and ETL processes. Experience with IBM Cognos and/or Apptio would be an advantage. You should also have strong analytical, financial accounting/business acumen, communication, and problem-solving skills, as well as the ability to work in a fast-paced and dynamic environment.

Responsibilities:
Provide feedback on design, develop, and maintenance of data pipelines, databases, and analytics solutions that support supply chain operations.
Collect, transform, and integrate data from various sources, such as ERP systems, external APIs, and web scraping
Ensure data quality, reliability, and security throughout the data lifecycle
Build and deploy data models and tools to simulate and optimize supply chain scenarios, as well as help deploy financial models
Create and present automated reports and dashboards on supply chain performance, metrics, and KPIs
Identify and implement opportunities for improving data efficiency, scalability, and usability
Monitor and manage inventory levels and availability across our supply chain network, as well as, monitor and mitigate excess and obsolescence
Provide feedback on the ability to forecast sales and production levels based on historical data, market trends, and customer demand
Identify and implement opportunities for improving efficiency, reducing costs, and increasing customer satisfaction


Required Technical and Professional Expertise
Bachelor's degree in finance, accounting, computer science, engineering, data science, or a related field
5+ years of experience in data engineering, data analysis, planning, logistics, accounting, finance or a similar role
Proficient in data scientist tools, frameworks, and languages, such as SQL and Python
Proficient in ERP systems (operational and financial), reporting tools, automation, and ETL processes
Proficiency in IBM Cognos and/Apptio would be an advantage
Excellent analytical, communication, and problem-solving skills
Ability to work independently and collaboratively


Preferred Technical and Professional Expertise
None",Full Stack Data Scientist,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Data Science & Machine Learning,"UG: Any Graduate
PG: Any Postgraduate","python, business acumen, sql, financial accounting, etl, erp, data analysis, forecasting, dbms, cognos, data engineering, dashboards, data quality, open source, tableau, data science, ibm cognos, product development, reporting tools"
7,Data Scientist: Artificial Intelligence,"IBM

Employees' choice",4.120393,Bengaluru,3 - 7 years,Not Disclosed,2 days ago,NA,128,"Your Role and Responsibilities
Work with broader team to build, analyze and improve the AI solutions.
You will also work with our software developers in consuming different enterprise applications.


Required Technical and Professional Expertise
Resource should have 5-7 years of experience. Sound knowledge of Python and should know how to use the ML related services.
Proficient in Python with focus on Data Analytics Packages. Strategy Analyse large, complex data sets and provide actionable insights to inform business decisions. Strategy
Design and implementing data models that help in identifying patterns and trends. Collaboration Work with data engineers to optimize and maintain data pipelines.
Perform quantitative analyses that translate data into actionable insights and provide analytical, data-driven decision-making. Identify and recommend process improvements to enhance the efficiency of the data platform. Develop and maintain data models, algorithms, and statistical models.


Preferred Technical and Professional Expertise
Experience with conversation analytics. Experience with cloud technologies
Experience with data exploration tools such as Tableu",Data Scientist,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Data Science & Machine Learning,"UG: Any Graduate
PG: Any Postgraduate","python, data analytics, artificial intelligence, tableau, ml, hive, algorithms, data analysis, natural language processing, pyspark, power bi, machine learning, sql, pandas, deep learning, data science, spark, kafka, data visualization, hadoop, aws, big data, etl"
8,Data Scientist,"IBM

Employees' choice",4.120393,Bengaluru,12 - 16 years,Not Disclosed,2 days ago,NA,10,"As a Data Scientist at IBM, you will help transform our clients' data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it's investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
12+ years of experience in Data Science with a background in machine learning, deep learning, and natural language processing.
Robust background in traditional AI methodologies, encompassing both machine learning and deep learning frameworks.
Familiarity with model serving platforms such as TGIS and vLLM.
Hands-on experience in transformer-based and diffuser-based models (e.g., BERT, GPT, T5, Llama, Stable diffusion) is desirable .Experience in testing AI algorithms and models is advantageous.
Proficiency in Python, C++, Go, Java, and relevant ML libraries (e.g., TensorFlow, PyTorch) to develop production-grade quality products is essential.
Proficient in full-stack development, adept at frontend (HTML, CSS, JavaScript) and backend (Django, Flask, Spring Boot). Experience integrating AI tech into full-stack projects is a plus. Skilled in integrating, cleansing, and shaping data, with expertise in various databases including open-source databases like MongoDB, CouchDB, CockroachDB.
Proficient in developing optimal data pipeline architectures for AI applications, ensuring adherence to client's SLAs.
Familiarity with Linux platform and experience in Linux app development is desirable.
Experienced in DevOps, skilled in Git, CI/CD pipelines (Jenkins, Travis CI, GitLab CI), and containerization (Docker, Kubernetes).
Experience in Generative Ai would be a huge plus.
AI compiler/runtime skills would be a huge plus.
Open-source Contribution is a huge plus. Experience in contributing to open-source AI projects or utilizing open-source AI frameworks is beneficial.
Strong problem-solving and analytical skills, with experience in optimizing AI algorithms for performance and scalability.
Familiar with Agile methodologies, adept at collaborative teamwork. Experience in Agile development of AI-based solutions is advantageous, ensuring efficient project delivery through iterative development processes.
The major responsibilities include:-
Lead the development and deployment of AI models in production environments, leveraging deep expertise in AI/ML and Data Science to ensure scalability, reliability, and efficiency.
Direct the implementation and optimization of machine learning algorithms, neural networks, and statistical modeling techniques, personally driving solutions for complex problems.
Personally oversee the development and deployment of large language models (LLMs) in production environments, demonstrating hands-on expertise in distributed systems, microservice architecture, and REST APIs.
Collaborate closely with cross-functional teams to integrate MLOps pipelines with CI/CD tools for continuous integration and deployment, taking a hands-on approach to ensure seamless integration and efficiency.
Proactively stay abreast of the latest advancements in AI/ML technologies and actively contribute to the development and improvement of AI frameworks and libraries, leading by example in fostering innovation.
Effectively communicate technical concepts to non-technical stakeholders, showcasing excellent communication and interpersonal skills while leading discussions and decision-making processes.
Uphold industry best practices and standards in AI engineering under your direct leadership, maintaining unwavering standards of code quality, performance, and security throughout the development lifecycle.
Required Technical and Professional Expertise
12+ years of extensive experience in Data Science and Generative AI.
Deep background in machine learning, deep learning, and NLP.
Hands-on expertise with transformer-based and diffuser-based models.
Proficiency in traditional AI methodologies and frameworks.
Familiarity with model serving platforms like TGIS and vLLM.
Exceptional coding proficiency in Python, C++, and Java.
Experience with ML libraries such as TensorFlow and PyTorch.
Skilled in data integration, cleansing, and shaping.
Proficient in developing data pipeline architectures.
Experience with open-source AI frameworks and fostering a culture of learning.
Preferred Technical and Professional Expertise
12+ years leading AI/ML projects with a focus on scalability and precision.
Skilled in implementing and optimizing machine learning algorithms and neural networks.
Experienced in developing and deploying large language models, including distributed systems and microservices.
Proficient in integrating MLOps with CI/CD tools for smooth AI/ML model deployment.
Dedicated to advancing AI/ML knowledge and contributing to framework development.
Effective at conveying technical concepts and fostering cross-team collaboration.",Data Platform Engineer,IT Services & Consulting,Engineering - Software & QA,"Full Time, Permanent",Software Development,"UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","c++, microservices, java, python, distribution system, continuous integration, css, golang, ci/cd, artificial intelligence, docker, deep learning, tensorflow, linux, pytorch, html, mongodb, rest, machine learning, javascript, spring boot, django, agile, flask, couchdb"
9,Data Scientist,"IBM

Employees' choice",4.120393,Bengaluru,6 - 10 years,Not Disclosed,2 days ago,NA,21,"As a Data Scientist at IBM, you will help transform our clients' data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it's investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
Data powers the insights companies use to transform the way they work. Do you enjoy analyzing data to push marketers to take actions that improve their performance? Do you have proven experience finding actionable insights in large data sets that lead to measurable business results?
The Performance Intelligence org directly impacts the direction of the marketing organization and all of IBM. We provide insights that drive both strategic and tactical outcomes for the company and directly guide marketing execution.
We are looking to implement the vision of an automated AI Data Analyst that consolidates access to insights and visualization of marketing data, using AI assistant technology that will reliably serve information to executive leadership and decision makers in marketing
In this role, you will have the opportunity to utilize your experience and specialization in data science and AI to accelerate our delivery timeline in the development of advanced generative AI use cases in the organization.
Use the latest AI tools and libraries to unlock the power of AI as an enabler for better insights of our performance data
Utilize various IBM and open source frameworks to develop AI multi agent workflows for data analysis and visualization and implement plus deploy AI automation solutions
Develop, design and present data-driven optimization recommendations via dashboards, reports, and analyses
Work with other team members, marketing groups, and IBM leadership to onboard new AI use cases and capabilities.


Required Technical and Professional Expertise
6+ years of relevant data science work experience in complex data querying and work with complex data models using Advanced SQL/Python or other query and programming tools to process and analyze data.
Experience with AI foundational technologies: LLM, watsonx (or other platforms), prompt engineering, Langchain, vector databases, RAG, chainlit/streamlit.
Demonstrates a strong ability to leverage AI tools to implement intelligent assistants, automation, and retrieval augmented generation.
Thought leadership in working on functional objectives and shaping a solution.
Ability to translate business requirements into technical solution
Familiarity with Microservices architecture, infrastructure concepts and cloud platforms AWS, Azure, IBM Cloud, or Google Cloud.


Preferred Technical and Professional Expertise
Master's degree in Data Science Computer Programming is a strong plus.
Relevant work experience in marketing analytics and web analytics is a plus.",Full Stack Data Scientist,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Data Science & Machine Learning,"UG: Any Graduate
PG: Any Postgraduate","python, ibm cloud, microsoft azure, microservices, aws, advance sql, data analysis, data analytics, machine learning, dashboards, sql, open source, tableau, r, data science, gcp, web analytics, marketing analytics, product development, data visualization, statistics"
10,Data Scientist,"IBM

Employees' choice",4.120393,Bengaluru,6 - 8 years,Not Disclosed,2 days ago,NA,22,"As a Data Scientist at IBM, you will help transform our clients' data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it's investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
The IBM Sustainability Software business unit is seeking a talented and motivated data scientist to work as a Data Scientist across our portfolio of software products. Our group helps companies turn their sustainability ambitions into actions by embedding AI into the software that they use for managing their supply chains, assets, complex engineering, and environmental intelligence processes. We work on problems for everything from predicting asset failures from IOT data to optimizing supply chain decisions to helping companies reduce their carbon footprint and understand the impacts of climate change on their business. You will work across the entire AI and software lifecycles including requirements gathering, use case definition, design, model building, implementation, testing, documentation, and delivery. You'll frequently work with Product Owners, Architects, Designers, Sales, Support, Business Partners, and customers throughout this process. This is an exciting opportunity to work as a part of a worldwide team of data scientists on problems that really matter at a scale that few other companies can support.

Required Technical and Professional Expertise
Total 6+ years experinece in Data/AI/Software development
4+ years of hands-on experience in the data science ecosystem including:
Hands-on experience with big data technologies (e.g., Spark, Ray) and deep learning frameworks (PyTorch, Tensorflow, Keras)
Hands-on experience with SQL and Python
Hands-on experience building libraries and packages to be re-used by others
Hands-on experience building DS Solutions for production usage
Excellent understanding of machine learning techniques and algorithms and their drawbacks
Team player with a problem-solving attitude
Experience in delivering advanced analytical projects to large, complex organizations in a multi-functional environment.
Able to challenge and review the quality and value generated from analytical outputs
Focus on driving business value for clients to support long-term relationships. ""


Preferred Technical and Professional Expertise
Expertise in vision, language models, optimization, or advanced machine learning techniques
Hands-on experience with DevOps frameworks (Git, CI/CD, Docker)
Ability to clearly communicate complex ideas to different audiences
Independently contribute to projects or workstreams with limited guidance
Has developed new approaches to existing methods and technologies to develop and deploy solutions
Uses, implements, and shares knowledge and expertise to drive advances in project work
Makes contributions to the creation of IP in form of patents, publications, assets
Effectively coaches and at times manages the work of junior team members (including interns)""",Data Platform Engineer,IT Services & Consulting,Engineering - Software & QA,"Full Time, Permanent",Software Development,"UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","software development, artificial intelligence, sql, tensorflow, machine learning algorithms, continuous integration, algorithms, python, ci/cd, machine learning, docker, iot, open source, git, data science, spark, devops, product development, pytorch, keras, big data"
